artist_name,total_listening_sessions,avg_engagement_score,most_listened_genre,sessions_normalized,engagement_normalized,priority_score
Unlicensed Artist 983,33,0.3707301581364015,folk,0.8666666666666667,0.8340802697836994,0.8536321079134799
Unlicensed Artist 63,37,0.302667064394599,ambient,1.0,0.5811919309255139,0.8324767723702056
Unlicensed Artist 1371,31,0.34337317760007874,folk,0.8,0.7324354431431296,0.7729741772572518
Unlicensed Artist 1125,32,0.3219910424105969,ambient,0.8333333333333334,0.6529901468446422,0.7611960587378569
Unlicensed Artist 25,32,0.31981084502842305,experimental,0.8333333333333334,0.6448896262239893,0.7579558504895958
Unlicensed Artist 101,26,0.39524309582905354,vaporwave,0.6333333333333333,0.9251580588296255,0.7500632235318502
Unlicensed Artist 594,31,0.3268428426805912,lo-fi indie,0.8,0.6710170046217079,0.7484068018486831
Unlicensed Artist 1242,32,0.3069904539268297,ambient,0.8333333333333334,0.5972554792736138,0.7389021917094455
Unlicensed Artist 587,30,0.33077498883455714,lo-fi indie,0.7666666666666667,0.685626888691866,0.7342507554767465
Unlicensed Artist 1247,32,0.3011016041535279,folk,0.8333333333333334,0.5753754653764337,0.7301501861505735
Unlicensed Artist 1033,30,0.3266884442429746,vaporwave,0.7666666666666667,0.6704433374216937,0.7281773349686775
Unlicensed Artist 623,28,0.3531610295591153,hip-hop,0.7,0.7688021947383539,0.7275208778953415
Unlicensed Artist 204,32,0.29540944147296555,jazz,0.8333333333333334,0.5542262421239815,0.7216904968495926
Unlicensed Artist 791,30,0.3201454863192423,jazz,0.7666666666666667,0.6461329855174951,0.718453194206998
Unlicensed Artist 1321,30,0.31943958368251535,ambient,0.7666666666666667,0.6435102051620402,0.7174040820648161
Unlicensed Artist 1039,24,0.39320391781871605,synthwave,0.5666666666666667,0.9175814955069733,0.7070325982027893
Unlicensed Artist 322,28,0.3386038976979161,sludge metal,0.7,0.7147151896885486,0.7058860758754195
Unlicensed Artist 140,31,0.2968314457804332,experimental,0.8,0.5595096973328918,0.7038038789331567
Unlicensed Artist 452,28,0.33652826889013837,synthwave,0.7,0.7070031934740315,0.7028012773896126
Unlicensed Artist 429,28,0.33490220898612233,ambient,0.7,0.7009615699537953,0.7003846279815181
Unlicensed Artist 911,30,0.3059233654818849,hip-hop,0.7666666666666667,0.5932907135037746,0.6973162854015098
Unlicensed Artist 805,31,0.291200724848782,vaporwave,0.8,0.5385887608209399,0.695435504328376
Unlicensed Artist 184,30,0.3021708567908235,lo-fi indie,0.7666666666666667,0.5793482722002198,0.6917393088800879
Unlicensed Artist 1056,26,0.35587483539636494,experimental,0.6333333333333333,0.7788853369000832,0.6915541347600332
Unlicensed Artist 1085,31,0.28844021160051697,jazz,0.8,0.5283320773325576,0.691332830933023
Unlicensed Artist 986,30,0.30083998805771067,vaporwave,0.7666666666666667,0.5744034311027529,0.6897613724411011
Unlicensed Artist 203,28,0.3265106343502716,ambient,0.7,0.6697826849898664,0.6879130739959465
Unlicensed Artist 1114,30,0.2994922091644422,ambient,0.7666666666666667,0.5693957603265793,0.6877583041306318
Unlicensed Artist 96,27,0.33835401325230613,lo-fi indie,0.6666666666666666,0.7137867443464,0.68551469773856
Unlicensed Artist 484,30,0.296249944698854,experimental,0.7666666666666667,0.5573491307985134,0.6829396523194053
Unlicensed Artist 1306,29,0.3034847374791389,ambient,0.7333333333333333,0.5842299942386916,0.6736919976954766
Unlicensed Artist 172,31,0.27642684852102545,vaporwave,0.8,0.48369644197931205,0.6734785767917248
Unlicensed Artist 933,27,0.3299865858359292,experimental,0.6666666666666666,0.6826975783459366,0.6730790313383745
Unlicensed Artist 869,27,0.32928395769590185,hip-hop,0.6666666666666666,0.6800869643788344,0.6720347857515337
